tweet_id,twitter_handle,tweet_text,iata_airline,like_count,created_at
1577814231243804672,jephteerr,If u#you have options of airline to fly with from USA going to Europe pls do not fly with @British_Airways. They left the gate late to from the UK to Dallas and I missed my connecting flight. I had a 20hrs layover in London and they didn’t put me in a hotel or offer anything. (1),BA,0,2022-10-06 00:13:21+00:00
1575140650370080768,JasmiinaMilne,"#PersonalFinance #tip for all the self-funded PhD students💷
@AmexUK has an excellent joining bonus offer, if you spend £3,000 in 3 months, which you can use towards flights with airlines like @British_Airways or @Finnair 

#phdlife #phdvoice @PhDVoice 

https://t.co/TyHXLp8sRP",BA,0,2022-09-28 15:09:30+00:00
1574817052128415745,elem1963,"Seriously @British_Airways what is the point of silver status? You do t add on avios  or airmiles despite chasing for 2 months? Entry into UK means you have no priority, you cancel flights &amp; increase prices to stop people retaining their status? Premium airline? EasyJet from now!",BA,1,2022-09-27 17:43:38+00:00
1574107999794233345,AngelaLYoung,Dear @British_Airways @AmericanAir or whoever you are 😡. My sister @daph1908 has been trying to talk to someone for over 24hrs about our upcoming flight to LONDON. Your customer services is a clear indication of me NOT wanting to fly either airline. I’ll stick to @Delta!,BA,1,2022-09-25 18:46:07+00:00
1573914557784915968,Boakiebird,@JoeyEssex_ @British_Airways Sadly all airlines seem to have set a standard of appalling or non existent customer service these days. @wizzair still owe me a payment for a cancelled flight from June-nightmare to get hold of anyone #nonexistantxustomerservice #airlines,BA,1,2022-09-25 05:57:27+00:00
1573684571954200576,tim0657,"@British_Airways i cant find where i upload my covid documentation for flight to JFK Sat week. Dont say in the app or in the manage my booking because they are not there!
Also i have booked my seat with Am. Airlines but doesnt show up on BA. So what gives?",BA,0,2022-09-24 14:43:34+00:00
1573529645261225984,BrusselsAirport,@EJaneWench @British_Airways As an airport we don't do check-ins. All flight related actions are the responsability of the airlines and are done by the airlines or their representative. *Leen,BA,0,2022-09-24 04:27:56+00:00
1573274096267567104,hayley_maria,"@British_Airways a cancelled American Airlines flight but that was booked through British Airways, would the claim be completed against AA or BA?",BA,1,2022-09-23 11:32:29+00:00
1571618715245989888,shahid_ajari,@HeathrowAirport @British_Airways @VirginAtlantic - Airport authority suggested to check with airlines. Now please tell me my return flight from Mumbai to Amsterdam via Heathrow is via terminal 3 and 5. Do I need transit visa or not. It's one simple question!!,BA,0,2022-09-18 21:54:35+00:00
1570710461758439425,JudithVosper,What’s happening @British_Airways? Shifted to Iberian airlines on flight to Palma and now stuck on plane on runway not knowing when we’re going to depart due to French air traffic controllers strike. Not being offered any food or drink. Why board us? Could have stayed in airport.,BA,2,2022-09-16 09:45:31+00:00
